"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1289857","≤0.06",0.06
"ERR1334418","16",16
"ERR1334420","16",16
"ERR1334421","≤0.06",0.06
"ERR1334422","≤0.06",0.06
"ERR1334424","32",32
"ERR1334425","4",4
"ERR1334426","≤0.06",0.06
"ERR1334430","≤0.06",0.06
"ERR1334433",">32",48
"ERR1334434","≤0.06",0.06
"ERR1334438","≤0.06",0.06
"ERR1334440","≤0.06",0.06
"ERR1334441","4",4
"ERR1334442","32",32
"ERR1334444","4",4
"ERR1334447","≤0.06",0.06
"ERR1334448","≤0.06",0.06
"ERR1334451",">32",48
"ERR1334454","≤0.06",0.06
"ERR1334455","≤0.06",0.06
"ERR1334460",">32",48
"ERR1334464","≤0.06",0.06
"ERR1334469",">32",48
"ERR1334471","32",32
"ERR1334472","≤0.06",0.06
"ERR1334473","≤0.06",0.06
"ERR1334474","≤0.06",0.06
"ERR1334475","≤0.06",0.06
"ERR1334476","≤0.06",0.06
"ERR1334477","≤0.06",0.06
"ERR1334485","16",16
"ERR1334492",">32",48
"ERR1334494",">32",48
"ERR1334496","8",8
"ERR1334497",">32",48
"ERR1334499","≤0.06",0.06
"ERR1334503","0.12",0.12
"ERR1334510","≤0.06",0.06
"ERR1334519","≤0.06",0.06
"ERR1334521","≤0.06",0.06
"ERR1334522","≤0.06",0.06
"ERR1334526","≤0.06",0.06
"ERR1334530","≤0.06",0.06
"ERR1334537","≤0.06",0.06
"ERR1334540","≤0.06",0.06
"ERR1334543","≤0.06",0.06
"ERR1334544","≤0.06",0.06
"ERR1334548","≤0.06",0.06
"ERR1334550","≤0.06",0.06
"ERR1334551","2",2
"ERR1334560","≤0.06",0.06
"ERR1334576","≤0.06",0.06
"ERR1334582",">32",48
"ERR1334583",">32",48
"ERR1334584",">32",48
"ERR1334585","≤0.06",0.06
"ERR1334587","32",32
"ERR1334590","≤0.06",0.06
"ERR1334591","≤0.06",0.06
"ERR1334596","≤0.06",0.06
"ERR1334598","≤0.06",0.06
"ERR1334599","≤0.06",0.06
"ERR1334601",">32",48
"ERR1334604","≤0.06",0.06
"ERR1334605",">32",48
"ERR1334606",">32",48
"ERR1334609","≤0.06",0.06
"ERR1334610","≤0.06",0.06
"ERR1334611","8",8
"ERR1334613","16",16
"ERR1334617","≤0.06",0.06
"ERR1334618","≤0.06",0.06
"ERR1334631","0.12",0.12
"ERR1334740","1",1
"ERR1334741","≤0.06",0.06
"ERR1334743","≤0.06",0.06
"ERR1374861","4",4
"ERR1374862","2",2
"ERR1374863","≤0.06",0.06
"ERR1374866","≤0.06",0.06
"ERR1374875","32",32
"ERR1374876","0.5",0.5
"ERR1374878","≤0.06",0.06
"ERR1374884","4",4
"ERR1374888","≤0.06",0.06
"ERR1374894","0.12",0.12
"ERR1374896","32",32
"ERR1374897","0.12",0.12
"ERR1374898","0.25",0.25
"ERR1374899","0.25",0.25
"ERR1374900","0.25",0.25
"ERR1374905","0.12",0.12
"ERR1374907","0.12",0.12
"ERR1374908","0.12",0.12
"ERR1374910","1",1
"ERR1374914","≤0.06",0.06
"ERR1374915","0.5",0.5
"ERR1374917","≤0.06",0.06
"ERR1374918","16",16
"ERR1374920","≤0.06",0.06
"ERR1374921","≤0.06",0.06
"ERR1374922","≤0.06",0.06
"ERR1374923","0.12",0.12
"ERR1374924","≤0.06",0.06
"ERR1374926","≤0.06",0.06
"ERR1374928","32",32
"ERR1374929","≤0.06",0.06
"ERR1374931","≤0.06",0.06
"ERR1374936","≤0.06",0.06
"ERR1374947","≤0.06",0.06
"ERR1374954","0.12",0.12
"ERR1374963","0.12",0.12
"ERR1374975","≤0.06",0.06
"ERR1374978","2",2
"ERR1374980","≤0.06",0.06
"ERR1374989","≤0.06",0.06
"ERR1374993","1",1
"ERR1374994","2",2
"ERR1374995","≤0.06",0.06
"ERR1375002","≤0.06",0.06
"ERR1375004","≤0.06",0.06
"ERR1375008","≤0.06",0.06
"ERR1375016","≤0.06",0.06
"ERR1375017","≤0.06",0.06
"ERR1375020","≤0.06",0.06
"ERR1375021","≤0.06",0.06
"ERR1375022","≤0.06",0.06
"ERR1375031","≤0.06",0.06
"ERR1375035","≤0.06",0.06
"ERR1375037","≤0.06",0.06
"ERR1375039","≤0.06",0.06
"ERR1375043","≤0.06",0.06
"ERR1415458","≤0.06",0.06
"ERR1415459","≤0.06",0.06
"ERR1415467","≤0.06",0.06
"ERR1415471","≤0.06",0.06
"ERR1415475","≤0.06",0.06
"ERR1415479","≤0.06",0.06
"ERR1415486","32",32
"ERR1415488","≤0.06",0.06
"ERR1415492","≤0.06",0.06
"ERR1415499","≤0.06",0.06
"ERR1415515","0.12",0.12
"ERR1415518","0.12",0.12
"ERR1415524","2",2
"ERR1415529","0.12",0.12
"ERR1415536","4",4
"ERR1415539","2",2
"ERR1415542","2",2
"ERR1415548","0.25",0.25
"ERR1415552","0.5",0.5
"ERR1415574",">32",48
"ERR1415578","≤0.06",0.06
"ERR1415580","≤0.06",0.06
"ERR1415581","≤0.06",0.06
"ERR1415582","≤0.06",0.06
"ERR1415586","0.12",0.12
"ERR1415599","32",32
"ERR1415604","≤0.06",0.06
"ERR1415610","≤0.06",0.06
"ERR1415611","≤0.06",0.06
"ERR1415613","≤0.06",0.06
"ERR1415614","16",16
"ERR1415617","≤0.06",0.06
"ERR1415619","≤0.06",0.06
"ERR1415623","≤0.06",0.06
"ERR1415624","≤0.06",0.06
"ERR1415625","≤0.06",0.06
"ERR1415632","1",1
"ERR1415635","≤0.06",0.06
"ERR1415636","≤0.06",0.06
"ERR1415644","≤0.06",0.06
"ERR1415648","≤0.06",0.06
"ERR1415665","0.5",0.5
"ERR1415666","2",2
"ERR1415668","8",8
"ERR1415670","≤0.06",0.06
"ERR1415671","≤0.06",0.06
"ERR1415672","2",2
"ERR1415673","≤0.06",0.06
"ERR1415674","8",8
"ERR1415675","8",8
"ERR1415677","4",4
"ERR1415678","≤0.06",0.06
"ERR1415681","≤0.06",0.06
"ERR1415682","≤0.06",0.06
"ERR1415683","≤0.06",0.06
"ERR1415684","4",4
